anchor,winner,loser
flour,stuffing,violin
door,parking meter,vulture
raccoon,calf,soldering iron
cleat,corsage,grill
flag,fire,seesaw
statue,volleyball,roller
thermostat,air mattress,corsage
bean,wire cutters,cotton candy
lamppost,gargoyle,bowling ball
ladder,turnstile,blowfish
fox,pliers,lobster
saxophone,moth,crank
shoe polish,corsage,wok
orchid,cream,parsley
hard disk,lemon,treadmill
toucan,crate,mosquito
gravel,highlighter,handprint
sandal,marshmallow,closet
caterpillar,ski boots,mussel
visor,polar bear,shorts
wire,knitting needle,bat
gel,funnel,knee
gong,puck,bamboo
apple tree,granola,engine
leek,violin,cake mix
mousepad,tuba,odometer
needle,bird,bag
film,okra,hearing aid
ladder,bib,railing
rock,cactus,flute
weather vane,lantern,necklace
pajamas,mitten,engine
olive,firetruck,fondue
sprouts,guitar,popsicle
racehorse,ram,magnifying glass
owl,hawk,train
rocking horse,paper plate,altar
face mask,spur,yak
bunkbed,piglet,scrabble
cow,squid,sawhorse
wine bottle,inkwell,hawk
stew,waffle,spider web
radiator,caterpillar,springboard
bin,spool,sloth
rocking chair,ironing board,apple tree
pecan,first-aid kit,soda
puppet,bonnet,coleslaw
walker,milk,pajamas
earplug,carriage,turban
quad,jeans,air pump
pretzel,spoon,ferry
rock,beaker,dandelion
platypus,drum,scarecrow
thermos,knee,cage
hand,beachball,sweeper
hairnet,straightjacket,boar
chime,mop,bow
wineglass,hookah,volleyball
scuba,torpedo,souffle
grille,viewfinder,chips
wax,playpen,yolk
snorkel,buoy,gyro
shower,crepe,paper towel
knitting,brace,poodle
javelin,grate,helicopter
cheesecake,anchor,pesto
fence,gavel,squid
go-kart,moth,sled
police car,lion,cart
fuse,balloon,eagle
jumpsuit,milk,football helmet
extinguisher,cord,blowfish
dumpster,papaya,dustpan
guinea pig,reindeer,chime
curtain,frame,ram
hot chocolate,mug,jetski
shortbread,spareribs,cape
sombrero,coat,cigarette
tambourine,doorbell,possum
wire,wasp,whip
biscuit,banjo,candy cane
shoelace,visor,stew
pedometer,roof rack,knee
hummus,noodle,stretcher
whipped cream,playpen,mango
cocoon,grass,copier
ram,ski lift,zebra
teddy bear,shopping basket,panda
bib,sweater,bullet
coffee table,christmas card,crow
slime,fire,cornmeal
guitar,flower,gavel
slide,vulture,bumper
hearing aid,shower cap,meerkat
cellphone,basil,gauge
urinal,peach,hairspray
tambourine,doorknocker,raccoon
headscarf,arugula,blouse
snowsuit,navel,gumball
latte,brownie,badger
trolley,videogame,pastry
burner,fire,spider web
tack,lion,spark plug
viewfinder,okra,curb
bubble wrap,cuckoo clock,velcro
coffee pot,toe,coffee
stuffing,dolphin,quesadilla
swing set,pedal,cream
pulpit,awning,gumball
rollerblade,dolphin,airboat
inhaler,grass,penlight
bone,fossil,tuba
mattress,toilet paper,deer
megaphone,broom,corsage
pogo stick,fire,backscratcher
squeegee,walnut,tongs
jalapeno,pear,shower curtain
vise,poinsettia,pitchfork
badger,lipstick,kitten
seal,puffin,crayon
dumbbell,hearing aid,slug
chin,turban,shell
board game,slingshot,fire
stem,knee,poinsettia
hammock,punching bag,crayon
pole,knitting needle,bowling ball
headscarf,jetski,clothesline
cardboard,hot-air balloon,springboard
panda,bowling ball,donkey
tape measure,spool,knee
oatmeal,spinach,limousine
wire,duct tape,cheetah
orange,doll,corn
saw,block,shrimp
dog,gorilla,blimp
seahorse,calculator,mosquito
go-kart,balance beam,cherry
red carpet,cleat,milk
toad,target,fox
camera lens,car seat,chili
crow,kettle,platypus
face,target,skeleton
spark plug,whisk,meerkat
mango,bus,cake
school bus,fruit,road sign
toe,cookie,tooth
slot machine,seesaw,finger
girl,piggy bank,cabbage
potholder,dolphin,umbrella
anteater,frog,tapestry
backdrop,knee,tie
lamp,traffic light,raccoon
sunroof,polar bear,dirt bike
clipper,spinach,target
figurine,coat rack,cilantro
pothole,corsage,bomb
lab coat,cane,dolphin
spark plug,milk,life jacket
memory stick,spool,cockroach
sunflower,spinach,violin
kilt,shell,leg
stick,bowling ball,incubator
garbage truck,blackberry,hook
tomato sauce,bowling ball,fudge
key,lectern,peach
corn,cauliflower,finger
pheasant,pliers,cockroach
undershirt,shawl,lumber
golf club,racket,otter
poppy,rack,chive
screen,lectern,ant
top hat,dolphin,luggage
berry,hail,tank
chest,skewer,arm
green beans,phone booth,sunflower
turban,snowshoe,spider web
milk,splinter,ice cream
pocketknife,cardinal,buckle
pogo stick,cabbage,totem pole
dynamite,blowtorch,hummingbird
bookshelf,poodle,sandbox
chili,bologna,sailboat
dog,platypus,jeep
jetski,ferry,rat
aluminum foil,camel,battery
spinach,face mask,bamboo
bin,flower,brick
plug,lens,goat
wreck,taxi,wedding cake
freezer,stapler,necklace
duck,coral,wire cutters
shark,earwig,jeans
stamp,grate,football helmet
cracker,hot-air balloon,crouton
pen,seagull,mop
bazooka,gumball,horseshoe
shoe polish,playpen,speaker
teabag,brace,knee
seahorse,drawer,bull
amber,crumb,grate
lasagna,doll,hotdog
cilantro,air conditioner,cherry
backscratcher,dolphin,megaphone
ribbon,shark,swimsuit
harp,egg,frame
dolly,whale,dustpan
rose,cocoon,ladder
popsicle,cake,first-aid kit
baton,pipe,mongoose
flower,dandelion,crane
crab,ostrich,robe
rooster,ski pole,giraffe
wok,squirrel,telegraph
easter egg,crayon,jackhammer
flyswatter,lip gloss,roll
grill,hook,crayon
bookmark,tape recorder,artichoke
bongo,lion,radio
easter egg,bead,ratchet
rag,iceskate,bowling ball
rattlesnake,aardvark,hot-air balloon
ferret,chalice,snowman
pen,ink,cake mix
pickle,grate,branch
dollhouse,shark,bag
carrot,omelet,fishnet stockings
pepper mill,sprouts,corsage
rifle,paper plate,bomb
ink,wood,sifter
cobra,orangutan,beanbag
windsock,birdhouse,cilantro
hatchet,machete,shower curtain
vial,tuba,inhaler
phone,tack,koala
baseball,broccoli,ball
blower,swan,hourglass
lamb,pen,scorpion
step stool,sink,spider
fire hydrant,spout,knee
pennant,knee,roulette wheel
eclair,candy bar,harp
earplug,football helmet,rug
bazooka,bowling ball,arm
calculator,shark,scoreboard
kebab,cheesecake,tuba
toga,shell,hula hoop
bedpost,crab,belt buckle
whale,ram,bike
stopwatch,golf cart,poinsettia
beard,shell,man
abacus,videocassette,squirrel
cinnamon,sprouts,computer
blackberry,armor,cabbage
sleeping bag,gauze,diamond
insole,milk,chaps
furnace,ankle,switch
pinball,dish,corsage
muffin,powder,gun
stem,ruby,parsley
accordion,dumbbell,beaver
gem,raccoon,headdress
saxophone,unicycle,nacho
terrarium,fig,bulletproof vest
pot,poinsettia,coil
raspberry,burrito,police car
crystal ball,eagle,revolving door
speedboat,trolley,swab
rock,rag,bus
wallpaper,windshield,artichoke
toolbox,tack,spider web
fan,deer,dustpan
step stool,jalapeno,razor
filter,artichoke,rust
brush,curling iron,hot-air balloon
fur coat,engine,man
wrapping paper,lightning bug,plastic film
cigarette holder,scissors,mongoose
chest,stilt,wing
lip gloss,beachball,hanger
iron,boar,screen
coffee bean,cotton candy,chisel
golf club,panther,springboard
bulletproof vest,firewood,sock
surfboard,sandal,cream
hammer,pizza,tray
machete,robe,dart
workbench,shaker,pigeon
tattoo,kimono,rocking chair
lightbulb,cilantro,dial
panda,whale,doily
crane,taxi,bonnet
mousse,kite,rolling pin
oyster,jet,noodle
racket,chips,leash
coverall,cilantro,costume
nest,candelabra,sauerkraut
clothes,jacket,rabbit
film,touchpad,okra
binoculars,knee,flag
muff,leggings,tuba
revolving door,meerkat,sink
folder,jeep,paper
gramophone,magnifier,spring roll
domino,vent,cockroach
ink,glasses,corsage
duckling,screen,bat
golf club,laser pointer,hyena
flask,artichoke,ice-cream cone
mug,meerkat,jug
steak,paddle,butter
cake,carriage,jalapeno
cardboard,crab,trapdoor
cassette,polygraph,corsage
blackberry,banana peel,hatbox
crucifix,grate,guillotine
magnifier,ladybug,pitchfork
shield,trigger,first-aid kit
candy bar,chisel,chalk
cooler,tupperware,donkey
cup,wedding cake,gun
paper,spaghetti,checkers
waterwheel,hook,first-aid kit
pony,gazelle,test tube
apple,charger,milkshake
bulldozer,tapestry,gargoyle
globe,okra,anvil
gasket,napkin ring,broccoli
boulder,stump,cream
button,penguin,coin
nightstand,step stool,crab
playpen,puppet,carriage
pear,trampoline,baklava
grass,hail,contact lens
flypaper,pitchfork,carriage
kimono,stockings,grate
water cooler,hawk,syringe
nail clippers,fuse,beet
latte,bread,shell
barrette,board,bow
mirror,spoon,dolphin
arm,space shuttle,kneepad
lip balm,highlighter,spider web
router,coral,vacuum
shell,clasp,caterpillar
buoy,hawk,birdbath
rickshaw,yak,helicopter
hose,chicken wire,shrimp
electric chair,corsage,wrench
ravioli,mixer,hairdryer
bungee,jump rope,almond
pudding,gallows,casserole
scraper,holster,badger
life jacket,rag,lion
urinal,shutter,cardinal
saltshaker,cardinal,thermometer
star fruit,hubcap,scrambled egg
badge,gopher,dagger
sandal,marshmallow,arm
coleslaw,brass knuckles,egg
sled,wheel,face
quad,sorbet,humvee
sandcastle,first-aid kit,locket
keyhole,knee,camera lens
hotplate,stereo,poinsettia
sandcastle,knee,speaker
tulip,terrarium,filter
aloe,tulip,carriage
drill,broom,fire
garbage truck,canoe,marshmallow
padlock,slicer,marshmallow
mosquito net,bowling ball,chair
counter,hawk,stew
hinge,credit card,melon
snake,eel,tennis ball
scale,boar,washing machine
lobster,cockroach,knitting
tile,box,hedgehog
oil,ham,gallows
rubber band,polar bear,yarn
bullet,flagpole,panther
pallet,pony,bracket
oyster,chisel,footbath
breakfast,toaster,brass knuckles
coffeemaker,flashlight,slug
bun,tank,blackberry
ski lift,stuffing,aircraft carrier
container,train set,artichoke
microscope,stove,vulture
rooster,dryer,earwig
lizard,lightning bug,camper
float,grate,football helmet
bow,cabbage,earplug
rat,whale,tab
noose,anvil,gyro
flatiron,vulture,sweeper
jar,dolphin,paper towel
wrapping paper,mosquito,velcro
curb,jack,melon
croissant,lemon,manhole
creme brulee,wand,spoon
bird,seal,gurney
nutcracker,chipmunk,belt buckle
tricycle,swing set,ice cream
pendulum,knee,light switch
carriage,biscuit,tractor
bison,duck,incense
spareribs,kite,dogfood
popsicle,gallows,spareribs
strainer,dish,otter
earplug,pipe,milk
egg roll,lumber,berry
bologna,jetski,meat grinder
skeleton,sheath,cilantro
webcam,phone booth,spider web
crucifix,telegraph,marble
mole,tugboat,fishbowl
spring roll,beet,panties
mongoose,cockroach,knob
tinsel,sea urchin,sloth
flower,magnifier,leek
headscarf,panties,turntable
block,butterfly,washboard
sled,guacamole,log
tackle,marmalade,dish
helmet,headrest,corsage
costume,turntable,bow
rhubarb,crouton,shell
hook,swizzle stick,hawk
flamingo,owl,rickshaw
awning,abacus,hawk
pillow,panties,hedgehog
beanbag,cream cheese,caterpillar
suitcase,cardinal,shuffleboard
furnace,hawk,bomb
pillbox,taffy,wreck
fuse,eraser,cardinal
keg,meerkat,chute
notepad,ticktacktoe,donut
toe,compass,hand
laser pointer,wallet,cabbage
tab,bumper,panther
gourd,dynamite,soy sauce
backpack,tuba,handlebar
chime,enchilada,wind chimes
elbow,tuba,periscope
tank,soda,crank
coin,nutcracker,crow
duct,corsage,paperweight
gel,iron,playpen
pet food,drain,knee
ice cube,biscuit,chipmunk
coil,earring,lion
bottle opener,dagger,crab
corn,honeycomb,knot
canvas,tablecloth,vulture
sandal,rudder,firewood
sauerkraut,sword,french fries
barrette,first-aid kit,mascara
calculator,lightbulb,beachball
fossil,jeep,platypus
television,antenna,cardinal
turbine,finger,coil
rollerblade,locker,poppy
tennis ball,dice,scallop
handcuff,notebook,wrist
mold,food processor,badger
saddle,fire,garbage truck
snow,playpen,sailboat
trumpet,faucet,meerkat
toucan,beaker,mushroom
bowl,spider,centerpiece
tennis ball,test tube,bowling ball
gauze,ram,duct tape
cloud,necklace,icicle
window,pendulum,knee
stamp,springboard,grate
cracker,speedboat,hot chocolate
gift,piglet,painting
doll,playpen,pot
yolk,playpen,breadbox
baseball,spring roll,ski
stew,ball,oyster
sewage,violin,swimming pool
buffet,trombone,pistachio
window,knee,spark plug
stove,vulture,wine bottle
batter,candy cane,kayak
speedometer,coil,peach
highlighter,eagle,eraser
drain,record player,meerkat
slicer,porthole,panther
lock,ratchet,okra
dumpling,fork,quad
jersey,fishnet stockings,meerkat
stuffing,bagel,diamond
corn,apple tree,airplane
artichoke,quiche,trident
coffee bean,bungee,guacamole
candy bar,sprouts,chisel
belt buckle,closet,fire
cockroach,lizard,bracket
cocktail,seaplane,juicer
cloud,playpen,satellite
teabag,knee,water fountain
ferret,van,bear
rifle,parsley,nail file
whipped cream,fruit,pen
penguin,seagull,knife
basketball,orangutan,scale
syringe,rooster,dart
steering wheel,piglet,cymbal
bacon,sword,broccoli
garbage truck,tugboat,beer
stroller,shell,stool
trophy,pitcher,mole
whale,ostrich,ski pole
filter,shirt,outlet
wallet,cushion,ladybug
wheelbarrow,corsage,root
sea urchin,earwig,ladder
tie,bra,ladybug
column,tray,panther
stained glass,centerpiece,snack
clipper,mistletoe,thread
nail polish,boar,lipstick
tiara,carrot,skirt
canoe,marshmallow,diving board
shredder,tray,eagle
wheel,lettuce,dumbbell
windshield,knee,scooter
purse,canister,clipper
gyro,plug,vegetable
column,vacuum,hedgehog
mouthpiece,hook,grate
meatball,kebab,throne
beanbag,piggy bank,poinsettia
potpie,gallows,piecrust
exerciser,eggbeater,scallion
stretcher,corn,sprinkler
snowboard,meerkat,surfboard
sleeping bag,tricycle,grate
cooker,detonator,beaver
ski,glove,patty
mold,otter,backgammon
float,pallet,compass
saxophone,key,doll
inkwell,goose,fire alarm
hotdog,taco,chisel
pineapple,chain,sprouts
couch,boot,boar
dish,rabbit,champagne
wrapping paper,blanket,tiger
bed,pickax,robe
potpourri,napkin ring,helmet
star fruit,scone,airplane
tablecloth,monkey,refrigerator
panties,target,spacesuit
golf cart,yolk,snowplow
stained glass,music box,quad
sloth,tuba,cow
dolly,knee,car door
flower,gasket,cotton candy
fast food,airplane,beer
money,paper bag,cilantro
balloon,chisel,mouthpiece
bottle opener,aardvark,curling iron
computer,corset,payphone
pliers,spinach,sweeper
cake,pudding,owl
butterfly,tadpole,grater
radiator,beer,chessboard
shower,test tube,coffee table
dishrag,deer,duct
peanut,taco,revolver
diaper,record player,paper towel
water fountain,button,juicer
surfboard,road sign,rabbit
bacon,jet,syrup
peacock,worm,barrel
gavel,papaya,dollhouse
dessert,mustard,shell
thumbtack,hyena,album
faucet,spider web,backscratcher
wine bottle,grate,bottle
bazooka,gumball,slicer
burner,hawk,microscope
skunk,seatbelt,koala
accordion,pigeon,cymbal
baton,aloe,jump rope
strainer,snowman,butter
gel,sundae,playpen
squirt gun,scallion,hobbyhorse
bedpost,axe,okra
alligator,doily,wolf
thumb,chicken,bowling ball
hatchet,holster,lingerie
brush,basil,leggings
recliner,paperweight,crab
plum,mistletoe,dagger
praying mantis,bottle opener,zucchini
razor blade,hammer,artichoke
raisin,soy sauce,revolver
cake mix,handcuff,cotton candy
birthday cake,knob,berry
elbow,jersey,grate
tamale,humvee,eggnog
highchair,rollerskate,alpaca
chopsticks,chipmunk,thermos
skateboard,corsage,bracelet
crouton,taco,bathmat
dagger,hedgehog,baton
chime,marijuana,incense
fireworks,knee,graffiti
egg,bubble wrap,peppermint
doorknob,checkbook,dolphin
cilantro,meerkat,pecan
air mattress,meerkat,frame
screw,holster,hawk
drain,hourglass,okra
pet food,rice,knee
chick,calf,chalk
turkey,porcupine,hard disk
cash register,hearing aid,swan
shovel,turnstile,lion
pantsuit,poppy,lab coat
desk,parsley,shower
ladybug,octopus,revolver
candlestick,train set,meerkat
tape recorder,flatiron,otter
generator,touchpad,hyena
zipper,cash register,artichoke
sundial,diaper,candlestick
knitting,owl,tent
hydrant,playpen,inhaler
candelabra,payphone,eagle
gravy,anchor,food processor
grasshopper,mushroom,playpen
wire,marker,bird
skunk,lizard,humvee
kilt,wire,kimono
pool table,eagle,honeypot
appetizer,hummus,roadsweeper
jeans,swan,hoodie
tank,stuffing,chariot
amplifier,flower,ladle
chickpea,banjo,guacamole
zebra,panda,coal
flipper,cake,skateboard
ant,violin,mousetrap
hovercraft,trombone,ferris wheel
grits,tortellini,cable
paddle,wolf,snorkel
incubator,sponge,tuba
tackle,piglet,workbench
pumpkin,tank,applesauce
ear,loincloth,paint
butterfly,star fruit,handcuff
pepper,cardigan,dustpan
gurney,cashew,gas mask
sheath,playpen,hook
paperclip,roller,artichoke
onion,flamethrower,shortbread
thermos,playpen,gavel
flashbulb,jack,lion
belt,playpen,brush
toe,oatmeal,leg
antelope,chisel,wolf
padlock,brake,gumball
seal,manatee,candelabra
badger,power line,mouse
iron,eagle,bowler hat
pulley,staple,whale
folder,coaster,cockroach
skewer,whale,pin
revolver,sushi,wrench
jacket,straightjacket,pillbox
cummerbund,hairnet,marble
foot,tattoo,knob
bulletproof vest,stomach,macadamia
lampshade,combination lock,star fruit
vegetable,space shuttle,omelet
honeycomb,blueberry,sheath
tupperware,chinaware,gazelle
payphone,tray,artichoke
starfish,recorder,plant
speedboat,onion,starfish
fan,shopping cart,raccoon
mosquito,pulpit,gazelle
lid,bank,beaver
drum,trashcan,kite
motorcycle,spring roll,tractor
nutcracker,skateboard,doll
pom-pom,sombrero,hearse
tulip,camcorder,clipper
swab,staple,ladybug
basket,trapdoor,swan
red carpet,lab coat,cabbage
hearse,magnifier,scallion
board,fencepost,beaver
paint,painting,skull
mousetrap,streetlight,corsage
goggles,top hat,knee
seaplane,paper plate,go-kart
cornucopia,headband,orange rind
latte,sushi,shell
comic book,okra,luggage
porthole,hedgehog,hovercraft
airboat,milk,rocket
gumball,wing,cherry
polaroid,stiletto,okra
sandpaper,washcloth,pig
blanket,checkbook,anchor
hummus,ladle,rack
shorts,licorice,bow
razor,grate,zipper
scissors,fire,duct
badge,pulpit,mole
snowmobile,pony,propeller
green beans,scuba,moss
stockings,tank,bracelet
cactus,turntable,bumper
hammer,pogo stick,ice cream
mirror,polar bear,dresser
parking meter,diaper,dice
saddle,corsage,fencepost
pudding,dynamite,strawberry
torso,power line,ankle
slipper,fire,patch
scallion,eyeliner,peanut
staple gun,bomb,shark
crutch,papaya,luggage
satellite,compass,knee
veil,xylophone,snowsuit
mail,eagle,cassette
whoopee cushion,grate,gingerbread man
fungus,crystal,grate
mitten,grate,top hat
record,blackberry,wheel
wind chimes,diaper,grapevine
panda,blowfish,crayon
snowshoe,grate,chest
creme brulee,dish,flamethrower
spark plug,piglet,shell
loveseat,scrambled egg,checkers
sawhorse,washboard,groundhog
cantaloupe,knot,cupcake
feather,gurney,crow
ravioli,coffee bean,pickax
bologna,bun,space shuttle
rhinoceros,fly,candelabra
gold,lamppost,grate
quad,torpedo,kimono
panties,wrench,ankle
arugula,baton,cornmeal
paper bag,sleeping bag,tuba
bomb,outlet,meerkat
rattlesnake,lobster,nail polish
hamster,wing,butterfly
apron,beaver,cleaver
torpedo,okra,gun
doily,okra,petri dish
gyroscope,buckle,poinsettia
dumbbell,hawk,can
sundial,gold,playpen
airboat,bazooka,pillbox
red carpet,muff,cabbage
souffle,ukulele,juicer
lollipop,kangaroo,bottle
apple tree,ivy,face
whipped cream,pumpkin,marble
