head,winner,loser,raw_generation
box,tuba,air mattress,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to box: tuba or air mattress? Respond only with the item name.
model
Air mattress"
stingray,worm,gong,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to stingray: worm or gong? Respond only with the item name.
model
Gong"
bee,blinder,bassoon,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bee: blinder or bassoon? Respond only with the item name.
model
Bassoon"
helmet,backpack,strawberry,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to helmet: backpack or strawberry? Respond only with the item name.
model
Backpack"
garlic,revolver,caviar,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to garlic: revolver or caviar? Respond only with the item name.
model
Revolver"
sea urchin,leaf,beaker,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to sea urchin: leaf or beaker? Respond only with the item name.
model
Leaf"
hairspray,hairnet,moth,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to hairspray: hairnet or moth? Respond only with the item name.
model
Hairnet"
bullet,tongs,corsage,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bullet: tongs or corsage? Respond only with the item name.
model
Tongs"
almond,avocado,bulletproof vest,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to almond: avocado or bulletproof vest? Respond only with the item name.
model
Avocado"
olive,mascara,meatloaf,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to olive: mascara or meatloaf? Respond only with the item name.
model
Meatloaf"
bolt,stereo,pigeon,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bolt: stereo or pigeon? Respond only with the item name.
model
stereo"
stereo,fire,shoehorn,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to stereo: fire or shoehorn? Respond only with the item name.
model
Shoehorn"
game,beaver,keyhole,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to game: beaver or keyhole? Respond only with the item name.
model
Keyhole"
brace,light switch,cardinal,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to brace: light switch or cardinal? Respond only with the item name.
model
brace"
pickax,airplane,screwdriver,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to pickax: airplane or screwdriver? Respond only with the item name.
model
Airplane"
brass knuckles,bathmat,thimble,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to brass knuckles: bathmat or thimble? Respond only with the item name.
model
Bathmat"
beetle,penguin,bubble wrap,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to beetle: penguin or bubble wrap? Respond only with the item name.
model
Bubble wrap"
coffee,hyena,chickpea,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to coffee: hyena or chickpea? Respond only with the item name.
model
Chickpea"
boy,shears,pajamas,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to boy: shears or pajamas? Respond only with the item name.
model
Shears"
sequin,poster,cilantro,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to sequin: poster or cilantro? Respond only with the item name.
model
Poster"
neck,trombone,brass knuckles,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to neck: trombone or brass knuckles? Respond only with the item name.
model
Brass knuckles"
sandcastle,first-aid kit,lamppost,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to sandcastle: first-aid kit or lamppost? Respond only with the item name.
model
Sandcastle"
holster,cot,okra,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to holster: cot or okra? Respond only with the item name.
model
Okra"
lizard,xylophone,rat,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to lizard: xylophone or rat? Respond only with the item name.
model
Lizard"
tumbleweed,road sign,knee,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to tumbleweed: road sign or knee? Respond only with the item name.
model
Road sign"
station wagon,speaker,ladybug,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to station wagon: speaker or ladybug? Respond only with the item name.
model
Speaker"
toga,jersey,crystal,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to toga: jersey or crystal? Respond only with the item name.
model
Jersey"
leaf,turntable,kale,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to leaf: turntable or kale? Respond only with the item name.
model
Turntable"
bathtub,pita,sink,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bathtub: pita or sink? Respond only with the item name.
model
Sink"
origami,checkers,cilantro,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to origami: checkers or cilantro? Respond only with the item name.
model
Checkers"
statue,gumball,grapevine,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to statue: gumball or grapevine? Respond only with the item name.
model
Statue"
foot,sorbet,elbow,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to foot: sorbet or elbow? Respond only with the item name.
model
Sorbet"
kitten,cat,stroller,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to kitten: cat or stroller? Respond only with the item name.
model
Cat"
stove,wok,artichoke,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to stove: wok or artichoke? Respond only with the item name.
model
Wok"
eyeliner,screwdriver,aloe,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to eyeliner: screwdriver or aloe? Respond only with the item name.
model
Eyeliner"
patty,statue,pear,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to patty: statue or pear? Respond only with the item name.
model
Pear"
tortellini,playpen,dough,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to tortellini: playpen or dough? Respond only with the item name.
model
Dough"
gallows,machine gun,arugula,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to gallows: machine gun or arugula? Respond only with the item name.
model
Gallows machine gun"
